d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,gates,depth
64,511,170,1.1249775511965978,1.1249775511965978,42.34383032253434,160,0.333654196901148,classical,13592844.1969857,44244.3391583621
80,511,170,1.1138675511965979,1.1138675511965979,47.56261639643959,269,0.357346075262063,classical,44406037.903609,144540.448872507
96,511,170,1.1138675511965979,1.1138675511965979,52.81512726691034,481,0.375750170193169,classical,170703792.467816,555636.214180957
112,511,170,1.1138675511965979,1.1138675511965979,58.06066393005922,813,0.390452618403062,classical,646057651.018738,2102900.12989824
128,511,170,1.1138675511965979,1.1138675511965979,63.303429002533996,774,0.401449476555058,classical,2412441913.97079,7852432.99303332
144,511,170,1.0694175511965975,1.0694175511965975,67.72700488028536,315,0.406434746304051,classical,1555184050.88214,5062081.90160552
160,255,85,1.0583075511965976,1.0583075511965976,72.93562148964993,694,0.414332999830775,classical,1405587342.9252,8259051.59265636
176,255,85,1.0583075511965976,1.0583075511965976,77.82205509632286,1362,0.418839489318688,classical,3994180844.81403,23469296.1869352
192,255,85,1.0583075511965976,1.0583075511965976,82.68536575162138,2647,0.422670383860428,classical,11300537234.4927,66400512.5787303
208,255,85,1.0583075511965976,1.0583075511965976,87.52941595545764,5050,0.426004140961128,classical,31857537997.4676,187190821.872744
224,255,85,1.0583075511965976,1.0583075511965976,92.35710046393106,9312,0.428951881357833,classical,89535489394.6572,526099093.027732
240,255,85,1.0583075511965976,1.0583075511965976,97.17069275436528,16203,0.431599623914429,classical,250967816423.846,1474654815.56428
256,255,85,1.0583075511965976,1.0583075511965976,101.9719361860431,25821,0.433983144408065,classical,701760401578.323,4123454434.54028
272,511,170,1.0583075511965976,1.0583075511965976,106.91014249558638,93230,0.44297419896884,classical,4025106315299.06,13101611876.1995
288,511,170,1.0583075511965976,1.0583075511965976,111.69882584013364,185315,0.445718753730902,classical,11224128090522.3,36534232482.7126
304,511,170,1.0583075511965976,1.0583075511965976,116.47924413731342,368358,0.448206857927735,classical,31236876591742.6,101675186012.906
320,511,170,1.0583075511965976,1.0583075511965976,121.25233279689866,732118,0.450460688788146,classical,86774540076969.5,282448774210.751
336,511,170,1.0583075511965976,1.0583075511965976,126.01892757146462,1454621,0.452500611383451,classical,240654311192961.0,783323255239.294
352,511,170,1.0583075511965976,1.0583075511965976,130.77978281639702,2888006,0.454345843202382,classical,666401100719233.0,2169117506861.88
368,511,170,1.0583075511965976,1.0583075511965976,135.53558399943196,5725027,0.456014685073688,classical,1.84280629249397e+15,5998284496363.75
384,511,170,1.0583075511965976,1.0583075511965976,140.28695662174908,11313715,0.457524535564084,classical,5.08959747072727e+15,16566501713036.3
400,511,170,1.0583075511965976,1.0583075511965976,145.0344729166188,22220552,0.458891816955158,classical,1.40410973268772e+16,45703390937394.1
416,511,170,1.0583075511965976,1.0583075511965976,149.77865716518883,43122178,0.460131883563697,classical,3.869746809154e+16,125959208977888.0
432,511,170,1.0583075511965976,1.0583075511965976,154.51999012928513,81813262,0.461258947577525,classical,1.0655496661941e+17,346833526066796.0
448,511,170,1.0583075511965976,1.0583075511965976,159.25891288791018,149043154,0.462286036463668,classical,2.93167567036815e+17,954252478600843.0
464,511,170,1.0583075511965976,1.0583075511965976,163.99583023481395,253951348,0.463224984234667,classical,8.06021068587363e+17,2.62357671511257e+15
480,511,170,1.0583075511965976,1.0583075511965976,168.73111371952606,393012409,0.464086452914001,classical,2.21461462022594e+18,7.20851051791445e+15
496,511,170,1.0583075511965976,1.0583075511965976,173.46510437349926,542279170,0.464879978078636,classical,6.08135545185828e+18,1.97946470404067e+16
512,511,170,1.0583075511965976,1.0583075511965976,178.19811514316945,670232741,0.465614031858819,classical,1.66908558909267e+19,5.4328283189273e+16
528,1023,341,1.0580875511965975,1.0580875511965975,183.305839748691,6008208309,0.449597882244992,classical,8.66330022969191e+19,1.55353720607763e+17
544,1023,341,1.0580875511965975,1.0580875511965975,188.05403677426494,11963892538,0.450482331983482,classical,2.37421216873689e+20,4.25753101181188e+17
560,1023,341,1.0573075511965977,1.0573075511965977,192.7984523965156,25921934207,0.451278562277191,classical,5.74278240564212e+20,1.0298184175813e+18
576,1023,341,1.0573075511965977,1.0573075511965977,197.54030509262122,51766951348,0.452062463604585,classical,1.56700337332784e+21,2.8100123255229e+18
592,1023,341,1.0571875511965976,1.0571875511965976,202.28163750564113,104825663641,0.45279981121348,classical,4.18863853825418e+21,7.51123202412656e+18
608,1023,341,1.0570875511965976,1.0570875511965976,207.02173265076217,211950730282,0.453501739981188,classical,1.12193231355198e+22,2.01189332655246e+19
624,1023,341,1.0570875511965976,1.0570875511965976,211.76182314763292,423631747521,0.454175789578226,classical,3.05537114010481e+22,5.47901217628408e+19
640,1023,341,1.0563075511965978,1.0563075511965978,216.49898632083466,934570128348,0.45479047425258,classical,7.21408675493832e+22,1.29365852325622e+20
656,1023,341,1.0563075511965978,1.0563075511965978,221.2328832215899,1873292161270,0.455411561655516,classical,1.95655488283836e+23,3.50857147464962e+20
672,1023,341,1.0562875511965977,1.0562875511965977,225.9668109320915,3764923481133,0.456009506022959,classical,5.28479612994222e+23,9.47690510166273e+20
688,1023,341,1.0561075511965978,1.0561075511965978,230.70004525605967,7735786814163,0.456581240719778,classical,1.38270948858662e+24,2.47952925416771e+21
704,1023,341,1.0560875511965977,1.0560875511965977,235.4324457238844,15558826713819,0.457141216416191,classical,3.72893482389924e+24,6.68687317116334e+21
720,1023,341,1.0560875511965977,1.0560875511965977,240.1650114371206,31201303916291,0.457685620686435,classical,1.00936402151333e+25,1.81003142026957e+22
736,1023,341,1.0560875511965977,1.0560875511965977,244.897848845474,62546002377442,0.458215093497797,classical,2.73159381278543e+25,4.89840188789641e+22
752,1023,341,1.0560875511965977,1.0560875511965977,249.63102071868568,125280849033664,0.458730823129611,classical,7.39080434328038e+25,1.32534821900482e+23
768,1023,341,1.0560875511965977,1.0560875511965977,254.36458252307054,250544021739957,0.459233802649265,classical,1.99929203253292e+26,3.58520941904943e+23
784,1023,341,1.0560875511965977,1.0560875511965977,259.0985828273543,499476349017496,0.459724859079023,classical,5.40718327466762e+26,9.69637456230184e+23
800,1023,341,1.0560875511965977,1.0560875511965977,263.8330636792057,989548048690613,0.460204678772041,classical,1.46210119595282e+27,2.62189759876772e+24
816,1023,341,1.0560875511965977,1.0560875511965977,268.56806095995097,1936746656458764,0.460673829433265,classical,3.95272189997172e+27,7.08817699268667e+24
832,1023,341,1.0560875511965977,1.0560875511965977,273.3036047236937,3703985440156010,0.461132779181233,classical,1.06838664511277e+28,1.91587311954231e+25
848,1023,341,1.0560875511965977,1.0560875511965977,278.0397195258464,6794100058305023,0.461581913007781,classical,2.8871862421208e+28,5.17741637607962e+25
864,1023,341,1.0560875511965977,1.0560875511965977,282.77642474494104,11630505914436880,0.462021546955305,classical,7.80074443117264e+28,1.39886029430156e+26
880,1023,341,1.0560875511965977,1.0560875511965977,287.5137349005278,18026766790581028,0.46245194029635,classical,2.10723474122603e+29,3.77877654662608e+26
896,1023,341,1.0560875511965977,1.0560875511965977,292.2516599690187,24834431103317896,0.462873305968053,classical,5.69122970067604e+29,1.02057378295993e+27
912,1023,341,1.0560875511965977,1.0560875511965977,296.9902056984884,30593050125329904,0.463285819484689,classical,1.53679649276233e+30,2.75584415450969e+27
928,1023,341,1.0560875511965977,1.0560875511965977,301.72937392271564,34591043563270292,0.463689626525068,classical,4.14900923921531e+30,7.44016720024265e+27
944,1023,341,1.0560875511965977,1.0560875511965977,306.46916287414484,37001219167472136,0.464084849367812,classical,1.11993035581665e+31,2.00830333688989e+28
960,1023,341,1.0560875511965977,1.0560875511965977,311.2095674949565,38332484027150776,0.464471592326413,classical,3.02243537365398e+31,5.41995045934544e+28
976,1023,341,1.0560875511965977,1.0560875511965977,315.9505797450692,39032464734454744,0.464849946317195,classical,8.15536285080337e+31,1.46245186959623e+29
992,1023,341,1.0560875511965977,1.0560875511965977,320.69218890563707,39390995924835576,0.465219992676737,classical,2.20014207575658e+32,3.94538164755058e+29
1008,1023,341,1.0560875511965977,1.0560875511965977,325.4343818764485,39572172053840432,0.465581806330708,classical,5.93444765802419e+32,1.06418858746959e+30
1024,1023,341,1.0560875511965977,1.0560875511965977,330.17714346557483,39663100562128088,0.465935458403179,classical,1.60041656454809e+33,2.86993017941019e+30
