d,FPLLL,G6K,d4f-G6K,d4f-Ducas18
60, 0.6605,   1.4487, 14.57,12.5
62, 0.8385,   2.1722, 15.12,10.2
64, 1.6328,   3.0787, 15.23,11.2
66, 1.9728,   3.5695, 16.87,12.7
68, 4.0930,   4.5182, 17.67,12.5
70,10.6600,   7.4665, 16.75,13.5
72, 9.3025,   8.7190, 17.68,13.0
74,20.5347,  12.2922, 17.95,12.2
76,31.1943,  16.1908, 17.93,14.5
78,48.7200,  26.6795, 16.92,13.2
80,76.0895,  26.2770, 19.00,14.8
82,159.005,  42.3323, 18.62,14.0
84,267.160,  61.4098, 18.13,
86,379.643, 115.8510, 16.57,
88,556.829, 134.8823, 18.32,
90,2613.46, 167.7543, 19.08,
92,       , 311.5363, 18.05,
94,       , 374.8102, 19.62,
96,       , 814.6428, 17.13,
98,       , 994.7679, 18.75,
100,      , 1963.680, 18.08,